Words,TF-IDF
посидаон,0.005155444461802844
деифоб,0.005155444461802844
алкафоя,0.0028651538826565573
деифоба,0.00280031440456269
девкалид,0.002474807192756844
молид,0.0022402515236501523
адамас,0.0021488654119924183
аскалафа,0.0021488654119924183
гелен,0.002121263308077295
посидон,0.0020191864558046836
критских,0.0018747070770192156
азий,0.0018747070770192156
ктеатова,0.0016801886427376142
мерион,0.0016582211202875753
эней,0.0015474554749182795
хряснула,0.0014325769413282786
выгнать,0.0014325769413282786
часу,0.0014325769413282786
победою,0.0014325769413282786
виделась,0.0014325769413282786
стихий,0.0014325769413282786
офрионей,0.0014325769413282786
горят,0.0014325769413282786
звал,0.0014325769413282786
единое,0.0014325769413282786
имбрия,0.0014325769413282786
длань,0.0014325769413282786
остановят,0.0014325769413282786
локры,0.0014325769413282786
полете,0.0014325769413282786
шаг,0.0014325769413282786
сострадал,0.0014325769413282786
ловцов,0.0014325769413282786
роптал,0.0014325769413282786
исшедший,0.0014325769413282786
деипира,0.0014325769413282786
храбрости,0.0014325769413282786
эвхенор,0.0014325769413282786
углубилась,0.0014325769413282786
громозвучный,0.0014325769413282786
разорвавши,0.0014325769413282786
общим,0.0014325769413282786
злая,0.0014325769413282786
афарея,0.0014325769413282786
частых,0.0014325769413282786
меднобронным,0.0014325769413282786
послано,0.0014325769413282786
упавши,0.0014325769413282786
кронидовым,0.0014325769413282786
волокожный,0.0014325769413282786
амфимаха,0.0014325769413282786
схватиться,0.0014325769413282786
критян,0.0014141755387181963
девкалида,0.0014141755387181963
бегущего,0.001406030307764412
утеса,0.001406030307764412
мореходные,0.001406030307764412
ахейскими,0.001406030307764412
идоменей,0.0013363042282923095
кровавую,0.001326390407072811
дротом,0.0012498047180128104
грудью,0.0012498047180128104
мужества,0.0012498047180128104
блестящим,0.0012115118734828104
дружно,0.0012115118734828104
щитов,0.0012115118734828104
мериону,0.0012115118734828104
земледержец,0.0012115118734828104
левом,0.0012115118734828104
медножальную,0.0011201257618250761
пизандр,0.0011201257618250761
следуй,0.0011201257618250761
тяжкой,0.0011201257618250761
медная,0.0011201257618250761
половина,0.0011201257618250761
андремонов,0.0011201257618250761
проникла,0.0011201257618250761
всемощного,0.0011201257618250761
нападавшего,0.0011201257618250761
срывал,0.0011201257618250761
дрота,0.0011201257618250761
подаркес,0.0011201257618250761
сложася,0.0011201257618250761
жаром,0.0011201257618250761
слабых,0.0011201257618250761
отчего,0.0011201257618250761
свирепой,0.0011201257618250761
локров,0.0011201257618250761
предводит,0.0011201257618250761
клевретом,0.0011201257618250761
разным,0.0011201257618250761
немощи,0.0011201257618250761
круглых,0.0011201257618250761
неподвижный,0.0011201257618250761
сражаюсь,0.0011201257618250761
дружинами,0.0011201257618250761
вождем,0.0011201257618250761
пизандра,0.0011201257618250761
войско,0.0011201257618250761
анхизида,0.0011201257618250761
вервь,0.0011201257618250761
колебатель,0.0011108311692945177
копий,0.0011053253392273423
куще,0.0011053253392273423
бою,0.0010935791282612093
избегнуть,0.0010606316540386475
подлинно,0.0010606316540386475
понесли,0.0010606316540386475
летящего,0.0010606316540386475
укротил,0.0010606316540386475
летели,0.0010606316540386475
налетевши,0.0010606316540386475
ждали,0.0010606316540386475
сраженье,0.0009904468056373416
аяксы,0.0009904468056373416
везде,0.0009904468056373416
арею,0.000986591474639739
пылал,0.000986591474639739
броня,0.0009373535385096079
отважного,0.0009373535385096079
куда,0.0009373535385096079
бились,0.0009373535385096079
обещал,0.0009373535385096079
конце,0.0009373535385096079
ратоборцев,0.0009373535385096079
непрерывно,0.0009373535385096078
цветом,0.0009373535385096078
достигнул,0.0009373535385096078
пророка,0.0009373535385096078
потомок,0.0009373535385096078
лату,0.0009373535385096078
племенам,0.0009373535385096078
трубки,0.0009373535385096078
стремительный,0.0009373535385096078
фракии,0.0009373535385096078
кож,0.0009373535385096078
рана,0.0009373535385096078
уступит,0.0009373535385096078
крепостью,0.0009373535385096078
бранную,0.0009373535385096078
страшною,0.0009373535385096078
пронзить,0.0009373535385096078
оилид,0.0009373535385096078
разумный,0.0009373535385096078
убежать,0.0009373535385096078
единым,0.0009373535385096078
гортань,0.0009373535385096078
зеленые,0.0009373535385096078
плодами,0.0009373535385096078
антилоху,0.0009373535385096078
необорных,0.0009373535385096078
вел,0.0009373535385096078
азия,0.0009373535385096078
медон,0.0009373535385096078
крикнули,0.0009373535385096078
незадолго,0.0009373535385096078
бился,0.0009373535385096078
цвет,0.0009373535385096078
общий,0.0009373535385096078
будучи,0.0009373535385096078
вашей,0.0009373535385096078
внука,0.0009373535385096078
менелая,0.0008842602713818739
бранью,0.0008842602713818739
отступил,0.0008842602713818739
ударом,0.0008842602713818739
возбуждал,0.0008791836291859544
корабли,0.0008791836291859544
ведал,0.0008331233769708883
нашел,0.0008331233769708883
вырвал,0.0008331233769708883
служитель,0.0008331233769708883
нагло,0.0008076745823218734
ваш,0.0008076745823218734
нападает,0.0008076745823218734
оилея,0.0008076745823218734
засаду,0.0008076745823218734
крепкую,0.0008076745823218734
девкалион,0.0008076745823218734
виновен,0.0008076745823218734
стыдом,0.0008076745823218734
устремляясь,0.0008076745823218734
человеком,0.0008076745823218734
величаясь,0.0008076745823218734
желая,0.0008076745823218734
ястреб,0.0008076745823218734
крита,0.0008076745823218734
объяла,0.0008076745823218734
беспрерывно,0.0008076745823218734
веселился,0.0008076745823218734
круг,0.0008076745823218734
слабые,0.0008076745823218734
истребительной,0.0008076745823218734
выступил,0.0008076745823218734
блистала,0.0008076745823218734
ухо,0.0008076745823218734
бьется,0.0008076745823218734
бурному,0.0008076745823218734
щитом,0.0007892731797117911
гордо,0.0007892731797117911
предводитель,0.0007811279487580066
щита,0.0007811279487580066
копье,0.0007772217770204919
праздно,0.0007428351042280063
оружия,0.0007428351042280063
устремившися,0.0007428351042280063
оружие,0.0007428351042280063
упал,0.0007428351042280063
врагами,0.0007428351042280063
острым,0.0007428351042280063
победы,0.0007428351042280063
успел,0.0007428351042280063
жил,0.0007428351042280063
парис,0.0007428351042280063
тевкр,0.0007428351042280063
воинственный,0.0007415252828914958
поразил,0.0007310888932618731
суда,0.0007310888932618731
сваты,0.0007162884706641393
прежним,0.0007162884706641393
ланям,0.0007162884706641393
густопоросший,0.0007162884706641393
ощетиня,0.0007162884706641393
эвхенора,0.0007162884706641393
ободрявший,0.0007162884706641393
крякнули,0.0007162884706641393
укоризненным,0.0007162884706641393
изнурились,0.0007162884706641393
выпуке,0.0007162884706641393
прекрасносоставленной,0.0007162884706641393
засвирепствовал,0.0007162884706641393
питавшихся,0.0007162884706641393
удаленные,0.0007162884706641393
опасных,0.0007162884706641393
беспокойное,0.0007162884706641393
знойные,0.0007162884706641393
охранителя,0.0007162884706641393
касаяся,0.0007162884706641393
страдали,0.0007162884706641393
кололи,0.0007162884706641393
волочился,0.0007162884706641393
колеблемый,0.0007162884706641393
скобами,0.0007162884706641393
фтийских,0.0007162884706641393
фригиянина,0.0007162884706641393
тенедоса,0.0007162884706641393
поперек,0.0007162884706641393
созерцающий,0.0007162884706641393
сомкнувшиесь,0.0007162884706641393
обретешь,0.0007162884706641393
указанной,0.0007162884706641393
сговор,0.0007162884706641393
ястребов,0.0007162884706641393
спасете,0.0007162884706641393
наездников,0.0007162884706641393
ринуть,0.0007162884706641393
несокрушимые,0.0007162884706641393
сугубым,0.0007162884706641393
рвется,0.0007162884706641393
высоковершинное,0.0007162884706641393
обузданный,0.0007162884706641393
ужаснейшим,0.0007162884706641393
первою,0.0007162884706641393
приведен,0.0007162884706641393
стойкого,0.0007162884706641393
упасть,0.0007162884706641393
вскинет,0.0007162884706641393
обращенного,0.0007162884706641393
долга,0.0007162884706641393
ожидает,0.0007162884706641393
покрыть,0.0007162884706641393
аидова,0.0007162884706641393
